A,B
1.057138576519930062e+01,1.037025702923604520e+01
1.055127289160297543e+01,9.942756281112149708e+00
1.049042123055389197e+01,9.470025880801458129e+00
1.038838169557864788e+01,8.960291384600742148e+00
1.024557266448085713e+01,8.422883200710099771e+00
1.006330371810378210e+01,7.867844478999881375e+00
9.843757794193392030e+00,7.305491490667462173e+00
9.589931163840798689e+00,6.745962166666229720e+00
9.305534264123341615e+00,6.198789824065062071e+00
8.994859820117513394e+00,5.672535597635962823e+00
8.662627397869357537e+00,5.174505348869372412e+00
8.313815192969359558e+00,4.710566270248844667e+00
7.953490300697308335e+00,4.285066897284272258e+00
7.586647960356004639e+00,3.900853637372774685e+00
7.218068528057681732e+00,3.559368675941399385e+00
6.852198542846053897e+00,3.260809036266750560e+00
6.493059592188123119e+00,3.004324767729660728e+00
6.144186109742276969e+00,2.788235265475955682e+00
5.808591025315644529e+00,2.610245781110779983e+00
5.488756500895157764e+00,2.467650359062261156e+00
5.186645886711867881e+00,2.357511902469603182e+00
4.903732488287641189e+00,2.276814214778498879e+00
4.641040660936726958e+00,2.222584299098858018e+00
4.399195024752939887e+00,2.191985767915281436e+00
4.178474099069173775e+00,2.182385929027422122e+00
3.978865282064998787e+00,2.191400081894965712e+00
3.800118762047995702e+00,2.216916942486885311e+00
3.641798580091884840e+00,2.257109082133941680e+00
3.503329630296090347e+00,2.310431966641636414e+00
3.384039863930644820e+00,2.375614736160876816e+00
3.283197351153667842e+00,2.451645362010896889e+00
3.200042152239390703e+00,2.537752312771650143e+00
3.133813168292616691e+00,2.633384394098238879e+00
3.083770290873178777e+00,2.738190013165213266e+00
3.049212263102382359e+00,2.851996765913797027e+00
3.029490713383523826e+00,2.974791952384571836e+00
3.024020837283628804e+00,3.106704387149849644e+00
3.032289192270250844e+00,3.247987680917595377e+00
3.053859041134985297e+00,3.399005017778208959e+00
3.088373638799307486e+00,3.560215332447342895e+00
3.135557808164111115e+00,3.732160695915614834e+00
3.195218096939261621e+00,3.915454639583247687e+00
3.267241751203660449e+00,4.110771081459271947e+00
3.351594684229221688e+00,4.318833458342131948e+00
3.448318561640512758e+00,4.540403610815300084e+00
3.557527066557991446e+00,4.776269909855586526e+00
3.679401350887750777e+00,5.027234052075127302e+00
3.814184621006488474e+00,5.294095883139108949e+00
3.962175747219750299e+00,5.577635534752680257e+00
4.123721725973043206e+00,5.878592080098801631e+00
4.299208761385618693e+00,6.197637827737822569e+00
4.489051668020839436e+00,6.535347289053849096e+00
4.693681230124139958e+00,6.892159776777933011e+00
4.913529084789518997e+00,7.268334533552758714e+00
5.149009629665842525e+00,7.663897267082791842e+00
5.400498393407537456e+00,8.078577006427543949e+00
5.668306254709538194e+00,8.511732325641919061e+00
5.952648861802776636e+00,8.962266250111262877e+00
6.253610600633625616e+00,9.428529623472890364e+00
6.571102502917551824e+00,9.908213437252776146e+00
6.904813596351074168e+00,1.039823169028226424e+01
7.254155405744192819e+00,1.089459783513838609e+01
7.618199648683612324e+00,1.139229986366628111e+01
7.995609670181878847e+00,1.188518163866545407e+01
8.384566867030235571e+00,1.236584119651845448e+01
8.782694299979057817e+00,1.282556033334139478e+01
9.186980903315291158e+00,1.325428360296191954e+01
9.593711173279954707e+00,1.364066844397178890e+01
9.998406900349138482e+00,1.397223078846397293e+01
1.039578928916062139e+01,1.423561115433584057e+01
1.077977147567814242e+01,1.441698357588393264e+01
1.114349268569872109e+01,1.450262233197849682e+01
1.147940565032669902e+01,1.447962798699334108e+01
1.177942788399336393e+01,1.433679409493023726e+01
1.203516450508705127e+01,1.406556961987149457e+01
1.223820501656549631e+01,1.366104220165217953e+01
1.238048873507416481e+01,1.312283869595745145e+01
1.245472373116249365e+01,1.245581898028775569e+01
1.245483325607501968e+01,1.167043496614033771e+01
1.237639342708155077e+01,1.078264613836394226e+01
1.221701869820978992e+01,9.813328823414723345e+00
1.197664971073028362e+01,8.787185174177674085e+00
1.165770325707502231e+01,7.731238174793166884e+00
1.126505674884683650e+01,6.673073306146950934e+00
1.080585840457684732e+01,5.639036860525182604e+00
1.028917625017168014e+01,4.652611055571135523e+00
9.725519730711624788e+00,3.733153140084894961e+00
9.126283071648952472e+00,2.895117898645365617e+00
8.503166554348593920e+00,2.147798157775153260e+00
7.867629714691249276e+00,1.495537124694554798e+00
7.230420455691580095e+00,9.383069402001643633e-01
6.601209104142438555e+00,4.725184863864410056e-01
5.988340042366838922e+00,9.192761798907778115e-02
5.398698799929062986e+00,-2.114750254739622970e-01
4.837681417388760785e+00,-4.466701453168078206e-01
4.309246261118204302e+00,-6.229564337788755513e-01
3.816025991628496428e+00,-7.494525247135910284e-01
3.359478139994287460e+00,-8.347475360792012689e-01
2.940055572386938376e+00,-8.866806640172745224e-01
2.557381948746517253e+00,-9.122246857996880731e-01
2.210421285291896520e+00,-9.174477412628850859e-01
1.897634382636418371e+00,-9.075303239903530494e-01
1.617117911973741329e+00,-8.868183846552608607e-01
1.366724282310840977e+00,-8.588977174411407400e-01
1.144162082335642872e+00,-8.266787243496531712e-01
9.470780016671132007e-01,-7.924839385519286683e-01
7.731218076452089916e-01,-7.581332677887517857e-01
6.199963001018129471e-01,-7.250238462245260918e-01
4.854942854691790544e-01,-6.942027654228352107e-01
3.675245803799776501e-01,-6.664319107321412528e-01
2.641289312687657431e-01,-6.422447663111942040e-01
1.734915615107697484e-01,-6.219954591096515939e-01
9.394285944872761418e-02,-6.059005578462626218e-01
2.395851771922859197e-02,-5.940742779207722757e-01
-3.784476184477150035e-02,-5.865578033925676893e-01
-9.271606599955112271e-02,-5.833434479764388891e-01
-1.417788041972398994e-01,-5.843943559686981537e-01
-1.860403593743857331e-01,-5.896604031957992653e-01
-2.264023637565270863e-01,-5.990909057869959753e-01
-2.636712179595739891e-01,-6.126446865529531216e-01
-2.985685648189119190e-01,-6.302979889691141535e-01
-3.317415072339321425e-01,-6.520506699384621685e-01
-3.637724235043851562e-01,-6.779310464760636146e-01
-3.951882858015530187e-01,-7.079997193997991101e-01
-4.264694291613776445e-01,-7.423526497258194912e-01
-4.580577512178218291e-01,-7.811237210871516679e-01
-4.903643482047548297e-01,-8.244869841793116549e-01
-5.237766118022104678e-01,-8.726587468437033701e-01
-5.586648253063597469e-01,-9.258996456347465820e-01
-5.953883073391984526e-01,-9.845168111800788324e-01
-6.343011577232864351e-01,-1.048866219859787785e+00
-6.757576639369365923e-01,-1.119355307772554209e+00
-7.201174283204982984e-01,-1.196445909056252033e+00
-7.677502763940736719e-01,-1.280657568785391165e+00
-8.190410056332053657e-01,-1.372571270236555119e+00
-8.743940320935403854e-01,-1.472833606603694223e+00
-9.342379895445557247e-01,-1.582161417494065692e+00
-9.990303323395066659e-01,-1.701346899876662766e+00
-1.069261989093222232e+00,-1.831263190577861355e+00
-1.145462109241686122e+00,-1.972870401714456046e+00
-1.228202938488963003e+00,-2.127222070143526711e+00
-1.318104851654419374e+00,-2.295471955254019036e+00
-1.415841562014379384e+00,-2.478881083917633621e+00
-1.522145514204704897e+00,-2.678824894236497833e+00
-1.637813452207884213e+00,-2.896800267168694987e+00
-1.763712133703965179e+00,-3.134432152484126988e+00
-1.900784135581981449e+00,-3.393479386865539738e+00
-2.050053660710337233e+00,-3.675839159857485328e+00
-2.212632210625052220e+00,-3.983549398467838287e+00
-2.389723929409330871e+00,-4.318788102057021128e+00
-2.582630346674100075e+00,-4.683868351758469828e+00
-2.792754147182537228e+00,-5.081227326468014560e+00
-3.021601465111085183e+00,-5.513407161269000767e+00
-3.270782034726876564e+00,-5.983024862890178319e+00
-3.542006317543206606e+00,-6.492727728752951677e+00
-3.837078458664181291e+00,-7.045129782044478262e+00
-4.157883591002210721e+00,-7.642723623344637396e+00
-4.506367594236452945e+00,-8.287760814390411568e+00
-4.884506916251848629e+00,-8.982092487075144405e+00
-5.294265473334178296e+00,-9.726960399074041419e+00
-5.737534965908164253e+00,-1.052272731050762999e+01
-6.216054200368111182e+00,-1.136853463995467450e+01
-6.731302244326767159e+00,-1.226187537386907422e+01
-7.284359557280997599e+00,-1.319807192469159496e+01
-7.875730794022057779e+00,-1.416965319132321888e+01
-8.505123033752173711e+00,-1.516563403156623835e+01
-9.171174133533579464e+00,-1.617071570821586235e+01
-9.871128291001808108e+00,-1.716444991733973779e+01
-1.060046045363560197e+01,-1.812044392289694628e+01
-1.135245880056173640e+01,-1.900573124924233781e+01
-1.211778604542979565e+01,-1.978048982876849848e+01
-1.288405642376366522e+01,-2.039835090158103270e+01
-1.363548587154540215e+01,-2.080759262026917611e+01
-1.435269654641778025e+01,-2.095352664433432466e+01
-1.501277955620943416e+01,-2.078232727728231310e+01
-1.558973432831672135e+01,-2.024637881848345700e+01
-1.605539877733339438e+01,-1.931089642636199599e+01
-1.638094854223625418e+01,-1.796111649515938780e+01
-1.653896533752856612e+01,-1.620883503083910071e+01
-1.650595230685961923e+01,-1.409667118977384703e+01
-1.626502419515104236e+01,-1.169839126554557929e+01
-1.580836090219049694e+01,-9.114161370548702124e+00
-1.513894094902631693e+01,-6.460738486216035525e+00
-1.427112070274528932e+01,-3.858083909379231624e+00
-1.322981702340868360e+01,-1.415131540105155850e+00
-1.204834847507833118e+01,7.821310442450282174e-01
-1.076530052314599573e+01,2.677784640849092401e+00
-9.420992006746487846e+00,4.247331947031596222e+00
-8.054159611368678640e+00,5.493988618208232921e+00
-6.699344788410987128e+00,6.441773733897495191e+00
-5.385232936180138985e+00,7.127567917083226234e+00
-4.133952850853802374e+00,7.593887416967355364e+00
-2.961168824071686245e+00,7.883359967151647218e+00
-1.876715944949352899e+00,8.035158804969649182e+00
-8.855284699574526019e-01,8.083162390654836216e+00
1.134061610377634643e-02,8.055389560399543569e+00
8.157455105333530909e-01,7.974241376597147379e+00
1.531595097139732520e+00,7.857166708461565285e+00
2.164152258271915930e+00,7.717484721703690376e+00
2.719485504615093419e+00,7.565202554763946097e+00
3.204057209629978864e+00,7.407744953133288845e+00
3.624425983980310129e+00,7.250563904190907571e+00
3.987039776001370051e+00,7.097625968020977894e+00
4.298098395203330924e+00,6.951789797139554139e+00
4.563467535396953600e+00,6.815091985392708551e+00
4.788629980396528651e+00,6.688959962365077061e+00
4.978662978593383137e+00,6.574368770511179960e+00
5.138233557785162553e+00,6.471955762501744758e+00
5.271605778256820862e+00,6.382104356949412249e+00
5.382655636126079557e+00,6.305005379280701483e+00
5.474890610441542016e+00,6.240702333989152528e+00
5.551471782796302712e+00,6.189125220483890466e+00
5.615237126565061132e+00,6.150116173893736438e+00
5.668725031297928929e+00,6.123449219559195633e+00
5.714197450124055777e+00,6.108845708072646374e+00
5.753662275918914659e+00,6.105986485357600912e+00
5.788894696862783462e+00,6.114521497606924427e+00
5.821457376937197559e+00,6.134077292032771744e+00
5.852719368446755333e+00,6.164262718523591644e+00
5.883873703454439053e+00,6.204673039469657425e+00
5.915953637055960890e+00,6.254892596646767444e+00
5.949847533015041989e+00,6.314496151707265525e+00
5.986312394884264698e+00,6.383049001086615881e+00
6.025986055504500172e+00,6.460105960608775177e+00
6.069398046014927495e+00,6.545209315652099846e+00
6.116979172978644463e+00,6.637885836957067021e+00
6.169069839376486897e+00,6.737642968717957537e+00
6.225927152310633872e+00,6.843964303988705922e+00
6.287730867478440899e+00,6.956304472631313907e+00
6.354588227993728466e+00,7.074083579303381164e+00
6.426537763124693825e+00,7.196681343686491594e+00
6.503552121180873336e+00,7.323431112639448237e+00
6.585540020326730470e+00,7.453613934421409404e+00
6.672347411736198275e+00,7.586452908535540551e+00
6.763757961416132503e+00,7.721108050732364170e+00
6.859492970347755403e+00,7.856671940507746754e+00
6.959210867363754716e+00,7.992166446759439324e+00
7.062506425303323176e+00,8.126540854280758452e+00
7.168909868201066793e+00,8.258671736990365275e+00
7.277886055079996197e+00,8.387364940081273090e+00
7.388833943580124242e+00,8.511360038835217523e+00
7.501086553105633214e+00,8.629337632349130871e+00
7.613911661029982625e+00,8.739929801142453769e+00
7.726513475041230095e+00,8.841734003762015348e+00
7.838035527913308265e+00,8.933330604632494953e+00
7.947565035585227200e+00,9.013304109996584046e+00
8.054138943026362796e+00,9.080268038958175580e+00
8.156751852619544607e+00,9.132893172912362800e+00
8.254365984648826426e+00,9.169938712779119427e+00
8.345923257461855371e+00,9.190285637171458077e+00
8.430359495432815820e+00,9.192971308088655036e+00
8.506620676698400274e+00,9.177224130630133203e+00
8.573681022091573567e+00,9.142496860323980457e+00
8.630562605914814611e+00,9.088496989556229977e+00
8.676356044278955792e+00,9.015212557752668943e+00
8.710241695626326219e+00,8.922931741069467293e+00
8.731510700170639794e+00,8.812254704037307818e+00
8.739585100557306419e+00,8.684096447157912735e+00
8.734036235217367050e+00,8.539679758833166545e+00
8.714600587578946289e+00,8.380517861879946295e+00
8.681192315009045757e+00,8.208386905189808402e+00
8.633911774027122732e+00,8.025289048574776984e+00
8.573049501481888157e+00,7.833407473625001671e+00
8.499085298696199331e+00,7.635055172360567077e+00
8.412682286062636905e+00,7.432619768664468829e+00
8.314676034322820541e+00,7.228506874800110005e+00
8.206059118370548688e+00,7.025084551973740155e+00
8.087961661730867391e+00,6.824631324054527326e+00
7.961628627963233562e+00,6.629289901148553987e+00
7.828394755281765427e+00,6.441028336427300438e+00
7.689658113396318662e+00,6.261609810333762738e+00
7.546853283090062980e+00,6.092571662914155972e+00
7.401425121072472635e+00,5.935213729634693181e+00
7.254803981928694689e+00,5.790595524716655618e+00
7.108383136207490516e+00,5.659541394118864588e+00
6.963498961998627834e+00,5.542652449803873616e+00
6.821414310779152501e+00,5.440323905968623031e+00
6.683305270298099288e+00,5.352766362153682955e+00
6.550251379483658098e+00,5.280029603467398580e+00
6.423229201882032058e+00,5.222027594115754567e+00
6.303109041105404486e+00,5.178563503645952082e+00
6.190654487359458891e+00,5.149353802513823908e+00
6.086524418874895481e+00,5.134050673857764480e+00
5.991277044373182648e+00,5.132262194583611326e+00
5.905375559394225427e+00,5.143569928345284481e+00
5.829194996289331243e+00,5.167543737475569721e+00
5.763029870407955002e+00,5.203753756069212422e+00
5.707102258974080300e+00,5.251779571170958505e+00
5.661569990193767943e+00,5.311216734716517784e+00
5.626534664646042572e+00,5.381680778483814542e+00
5.602049276029819502e+00,5.462808931745472663e+00
5.588125241601384907e+00,5.554259750878275170e+00
5.584738692529073845e+00,5.655710866191320463e+00
5.591835909895298329e+00,5.766855037739043510e+00
5.609337822679672847e+00,5.887394692552358144e+00
5.637143509666941554e+00,6.017035093771156085e+00
5.675132668077362830e+00,6.155476270381963211e+00
5.723167028307822868e+00,6.302403817062685931e+00
5.781090707183309085e+00,6.457478659110223340e+00
5.848729502376000866e+00,6.620325869442402755e+00
5.925889139082641144e+00,6.790522624926636830e+00
6.012352487667040890e+00,6.967585399385177070e+00
6.107875778838854686e+00,7.150956512062741410e+00
6.212183852161243358e+00,7.339990184514220140e+00
6.324964485396541214e+00,7.533938307009011126e+00
6.445861867557788116e+00,7.731936178598402876e+00
6.574469298661849592e+00,7.932988563422527228e+00
6.710321225137917622e+00,8.135956499373202533e+00
6.852884752561446469e+00,8.339545402521864048e+00
7.001550817557488315e+00,8.542295128899938916e+00
7.155625248691733553e+00,8.742572779414478745e+00
7.314320001764007984e+00,8.938569156508528124e+00
7.476744917238460353e+00,9.128299892241670932e+00
7.641900414738781677e+00,9.309612353010228603e+00
7.808671608565926014e+00,9.480199468909004779e+00
7.975824394600233624e+00,9.637621615352442106e+00
8.142004116675455094e+00,9.779337568383050794e+00
8.305737461846215197e+00,9.902745339971684047e+00
8.465438249658761904e+00,1.000523335466496810e+01
8.619417760159382880e+00,1.008424193926082069e+01
8.765900178069527371e+00,1.013733445855992876e+01
8.903043606118567155e+00,1.016227665428115934e+01
9.028966910934826728e+00,1.015712186343987078e+01
9.141782406185331666e+00,1.012029886395573186e+01
9.239634051962370975e+00,1.005069820173015138e+01
9.320740466939149371e+00,9.947752100303329570e+00
9.383441630275568102e+00,9.811502561188435223e+00
9.426247723366854459e+00,9.642652150070778916e+00
9.447888166037246904e+00,9.442592332424450063e+00
9.447358582675967398e+00,9.213405132307684653e+00
9.423963237639139123e+00,8.957835339506120320e+00
9.377350447825836710e+00,8.679232406466224958e+00
9.307538643689875713e+00,8.381463402249758943e+00
9.214931119545864746e+00,8.068800703087555704e+00
9.100318077900034552e+00,7.745790234289636089e+00
8.964865293538995417e+00,7.417107770881418816e+00
8.810089541273237401e+00,7.087411831731058598e+00
8.637821770319019876e+00,6.761201924539512298e+00
8.450159785741069740e+00,6.442690287188635345e+00
8.249412835885825857e+00,6.135693911252954713e+00
8.038040943422538831e+00,5.843551713241446954e+00
7.818592020404429910e+00,5.569069491794305549e+00
7.593639767543417740e+00,5.314493049350603293e+00
7.365725095724136473e+00,5.081507815642742898e+00
7.137303367715997382e+00,4.871261679005304934e+00
6.910699198844928226e+00,4.684406621057265241e+00
6.688069941066162372e+00,4.521154188630618798e+00
6.471378365822608281e+00,4.381339779816650903e+00
6.262374507222012276e+00,4.264491073781295327e+00
6.062586163877940137e+00,4.169896575279955719e+00
5.873317205018141252e+00,4.096671049510815621e+00
5.695652589467409044e+00,4.043815479445068028e+00
5.530468878465175209e+00,4.010269998254433865e+00
5.378448990444100630e+00,3.994958973841672201e+00
5.240099988783858187e+00,3.996828017242238129e+00
5.115772791629695782e+00,4.014873140444628064e+00
5.005682826511188566e+00,4.048162606953256137e+00
4.909930804555395767e+00,4.095852215617320269e+00
4.828522945661588572e+00,4.157194855649310128e+00
4.761390136660360817e+00,4.231545190593265282e+00
4.708405642053651086e+00,4.318360292340204687e+00
4.669401107082306268e+00,4.417196971500232827e+00
4.644180693524099013e+00,4.527706452553339034e+00
4.632533269427023370e+00,4.649626932830130066e+00
4.634242635767334306e+00,4.782774452031856249e+00
4.649095817393786412e+00,4.927032389585754402e+00
4.676889474612982767e+00,5.082339804489554247e+00
4.717434507600639648e+00,5.248678738757115880e+00
4.770558930716287449e+00,5.426060522443593825e+00
4.836109089889018442e+00,5.614511046217569579e+00
4.913949285521873378e+00,5.814054907043197495e+00
5.003959847674005701e+00,6.024698284299393691e+00
5.106033691336544500e+00,6.246410368499814680e+00
5.220071359052871784e+00,6.479103144164629846e+00
5.345974537564047502e+00,6.722609324587423885e+00
5.483638016266384696e+00,6.976658252444396524e+00
5.632940039884186234e+00,7.240849620704089773e+00
5.793730997966176410e+00,7.514624938578345237e+00
5.965820392027393559e+00,7.797236773926411679e+00
6.148962030217295371e+00,8.087715954191786238e+00
6.342837422614744369e+00,8.384837110828685880e+00
6.547037391436138165e+00,8.687083215377700895e+00
6.761041973830294260e+00,8.992610085759991989e+00
6.984198785023264300e+00,9.299212242928582839e+00
7.215700130813796243e+00,9.604291969396580697e+00
7.454559314672074777e+00,9.904833952594097823e+00
7.699586778464277081e+00,1.019738846548689359e+01
7.949366947166538466e+00,1.047806660585739991e+01
8.202236913035624966e+00,1.074255162466287850e+01
8.456268384198351029e+00,1.098613073921903194e+01
8.709254619700418587e+00,1.120375193947865178e+01
8.958704351678241196e+00,1.139011002391694483e+01
9.201844918902111203e+00,1.153976530121386901e+01
9.435636957133286984e+00,1.164729692614783829e+01
9.656802954034741759e+00,1.170749059778018797e+01
9.861871718409286558e+00,1.171555730202305057e+01
1.004724027677066367e+01,1.166737601247724854e+01
1.020925385034132304e+01,1.155974901581219427e+01
1.034430336688840946e+01,1.139065423149894229e+01
1.044893845334946292e+01,1.115947516611292656e+01
1.051999212462580857e+01,1.086718673041699290e+01
1.055471158520492736e+01,1.051647483071739941e+01
1.055088790975617385e+01,1.011177006698277125e+01
1.050697612547883431e+01,9.659181344007304659e+00
1.042219664733168116e+01,9.166323540778661183e+00
1.029660933667637934e+01,8.642043798602580651e+00
1.013115278286900001e+01,8.096062126963127881e+00
9.927643717278412439e+00,7.538552167277940086e+00
9.688734562278364493e+00,6.979695349989990305e+00
9.417830641049526719e+00,6.429244954191974060e+00
9.118972072363771275e+00,5.896135077923117862e+00
8.796688372919705401e+00,5.388163504097048140e+00
8.455835886037439408e+00,4.911768011318823568e+00
8.101429098565578357e+00,4.471904525251794382e+00
7.738476641234200315e+00,4.072024505046626608e+00
7.371831427615442855e+00,3.714139737756193327e+00
7.006062258629517814e+00,3.398956347041835802e+00
6.645351667470749568e+00,3.126056706534924068e+00
6.293422171377167196e+00,2.894107853935311336e+00
5.953490739632981921e+00,2.701077260363069055e+00
5.628249391705990590e+00,2.544440547678300302e+00
5.319868507303221250e+00,2.421370102244662537e+00
5.030018666797364979e+00,2.328897803967240776e+00
4.759906580514352115e+00,2.264048799820779667e+00
4.510320802444995003e+00,2.223946157009907942e+00
4.281683337901486475e+00,2.205888276287960359e+00
4.074103831740133685e+00,2.207402203298525212e+00
3.887433668895972971e+00,2.226276587336133428e+00
3.721317960739988884e+00,2.260578167749264011e+00
3.575243981440916485e+00,2.308655474987931555e+00
3.448585130795617903e+00,2.369133047375572954e+00
3.340639922453613408e+00,2.440898986170113361e+00
3.250665828825263226e+00,2.523088170315075374e+00
3.177908062974244441e+00,2.615062972939254937e+00
3.121623553970745313e+00,2.716392889059326521e+00
3.081100487479603522e+00,2.826834109129558126e+00
3.055673849644598761e+00,2.946309758027177317e+00
3.044737440482856439e+00,3.074891260254144054e+00
3.047752822459985023e+00,3.212781083161274864e+00
3.064255648530114229e+00,3.360296943218572530e+00
3.093859777998960059e+00,3.517857427928952951e+00
3.136259542991959304e+00,3.685968880451060858e+00
3.191230476737869637e+00,3.865213308557843952e+00
3.258628759919866891e+00,4.056237008171264868e+00
3.338389584745006466e+00,4.259739529116094658e+00
3.430524579182115286e+00,4.476462552415577001e+00
3.535118376505461235e+00,4.707178190628023451e+00
3.652324357917717368e+00,4.952676162353980338e+00
3.782359538361343532e+00,5.213749226886404742e+00
3.925498507213849742e+00,5.491176193726543531e+00
4.082066275865119387e+00,5.785701744217346842e+00
4.252429822700341866e+00,6.098012220271967543e+00
4.436988062457504434e+00,6.428706451596023719e+00
4.636159901371356362e+00,6.778260614235435355e+00
4.850369972657764706e+00,7.146986049833917498e+00
5.080031580375379718e+00,7.534978941785795747e+00
5.325526316516421055e+00,7.942060763163182102e+00
5.587179761181097604e+00,8.367708511724462284e+00
5.865232636235433894e+00,8.810973969253453220e+00
6.159806769537235382e+00,9.270391617133668660e+00
6.470865254296878533e+00,9.743875470737142663e+00
6.798166275940904946e+00,1.022860603635608001e+01
7.141210251982422541e+00,1.072090992771874518e+01
7.499180219556055071e+00,1.121613648488329318e+01
7.870875846088779326e+00,1.170853807967263549e+01
8.254642069447164943e+00,1.219116368962286323e+01
8.648294231464735304e+00,1.265577871806527988e+01
9.049042680124790294e+00,1.309282774379073366e+01
9.453421186491384631e+00,1.349146052353295033e+01
9.857225120195540313e+00,1.383964451898036252e+01
1.025546706007402165e+01,1.412438855981429064e+01
1.064235921004804908e+01,1.433210078095694406e+01
1.101133336713893840e+01,1.444909829010369151e+01
1.135510985943541407e+01,1.446227477813333273e+01
1.166582635130520629e+01,1.435991457924169978e+01
1.193523517409885493e+01,1.413261764557603328e+01
1.215497342124657365e+01,1.377427132628270989e+01
1.231690321175018710e+01,1.328297573213935934e+01
1.241351046378910361e+01,1.266180608065422142e+01
1.243834002547561468e+01,1.191928551386260082e+01
1.238643457431431294e+01,1.106945294254084899e+01
1.225473641113696743e+01,1.013144703948685788e+01
1.204240747397195577e+01,9.128588384447732906e+00
1.175102556501953366e+01,8.087018297079682227e+00
1.138462483822554816e+01,7.034029611397322412e+00
1.094956531554272594e+01,5.996282873878810094e+00
1.045423707137633507e+01,4.998125133516025720e+00
9.908625877590303332e+00,4.060210067448410953e+00
9.323784296576114627e+00,3.198561812585135833e+00
8.711262048177015771e+00,2.424145324414193503e+00
8.082550375800733988e+00,1.742923572779249586e+00
7.448587695498585681e+00,1.156315162807662222e+00
6.819360442229493557e+00,6.619267250474513142e-01
6.203617070511289633e+00,2.544250674578890647e-01
5.608697870205949343e+00,-7.357083044008327910e-02
5.040471000141345748e+00,-3.306680783329266626e-01
4.503357092293918562e+00,-5.260039966145074741e-01
4.000420983403076391e+00,-6.687002600391508400e-01
3.533508859058853702e+00,-7.674671409606536043e-01
3.103411259056902960e+00,-8.303424167640874876e-01
2.710035891474803726e+00,-8.645416673368806482e-01
2.352578135593635267e+00,-8.763946121892369767e-01
2.029680860815347820e+00,-8.713437390895096835e-01
1.739578400824862037e+00,-8.539849874662243101e-01
1.480222061995753347e+00,-8.281343995081015263e-01
1.249386415845367804e+00,-7.969086568161632966e-01
1.044756908579214549e+00,-7.628108826406114762e-01
8.640001294572319246e-01,-7.278158721819509847e-01
7.048185292933135671e-01,-6.934510321062367089e-01
5.649915731533585728e-01,-6.608708553471464020e-01
4.424053303033080864e-01,-6.309238423701130083e-01
3.350724130359659658e-01,-6.042115154771153795e-01
2.411440201846578035e-01,-5.811396522515511753e-01
1.589156529410368779e-01,-5.619621619638207610e-01
8.682787145055111122e-02,-5.468182002812392861e-01
2.346326427737206732e-02,-5.357632032348268458e-01
-3.245938247384783093e-02,-5.287945495853814126e-01
-8.209289918500119188e-02,-5.258725513605559954e-01
-1.264708644025566708e-01,-5.269374391425253323e-01
-1.665175218765535536e-01,-5.319229611635455379e-01
-2.030580658052527632e-01,-5.407671599829487752e-01
-2.368289752230223755e-01,-5.534208320270450621e-01
-2.684881609034246441e-01,-5.698541167192257006e-01
-2.986247564850047498e-01,-5.900616054563695423e-01
-3.277684413821412290e-01,-6.140663077166922390e-01
-3.563982280155963411e-01,-6.419227629916105515e-01
-3.849506815131977788e-01,-6.737195434942562233e-01
-4.138275677113036344e-01,-7.095813538810872290e-01
-4.434029463282819772e-01,-7.496709004762170947e-01
-4.740297417430754945e-01,-7.941906734917272281e-01
-5.060458349179406401e-01,-8.433847611559196489e-01
-5.397797275417385299e-01,-8.975407940804013274e-01
-5.755558341956048540e-01,-9.569921011494655350e-01
-6.136994608909909221e-01,-1.022120144202089520e+00
-6.545415292221007375e-01,-1.093357287276957690e+00
-6.984231050275864217e-01,-1.171189946665223136e+00
-7.456997891913500487e-01,-1.256162159903780884e+00
-7.967460262625931655e-01,-1.348879604551186828e+00
-8.519593840914525540e-01,-1.450014090476619222e+00
-9.117648547299692652e-01,-1.560308541741027177e+00
-9.766192234310751008e-01,-1.680582475129113851e+00
-1.047015548600878976e+00,-1.811737971013735349e+00
-1.123487790842164546e+00,-1.954766117296143024e+00
-1.206615623487562461e+00,-2.110753887168624665e+00
-1.297029449855668704e+00,-2.280891384503601849e+00
-1.395415643320462085e+00,-2.466479354388080747e+00
-1.502522014427223995e+00,-2.668936807636458575e+00
-1.619163493748147387e+00,-2.889808543122415863e+00
-1.746227998685574212e+00,-3.130772265491441164e+00
-1.884682425366160929e+00,-3.393644881921841439e+00
-2.035578671021728958e+00,-3.680387412102836375e+00
-2.200059545129839478e+00,-3.993107750485710206e+00
-2.379364365665426639e+00,-4.334060266745722423e+00
-2.574833955773456307e+00,-4.705640904155872661e+00
-2.787914650611698075e+00,-5.110376018169103141e+00
-3.020160787367438537e+00,-5.550902668002348328e+00
-3.273234975430929339e+00,-6.029937409186845620e+00
-3.548905218806520878e+00,-6.550229810897786997e+00
-3.849037678015647668e+00,-7.114495916753599936e+00
-4.175583501889443383e+00,-7.725325668066433948e+00
-4.530557718507142617e+00,-8.385056918345647148e+00
-4.916007638490992981e+00,-9.095607124773575691e+00
-5.333967587119251341e+00,-9.858252201857053976e+00
-5.786396048593031693e+00,-1.067334055436012008e+01
-6.275090499169740710e+00,-1.153992930721049071e+01
-6.801574379973815532e+00,-1.245532977221864712e+01
-7.366949919198298780e+00,-1.341455109219809039e+01
-7.971710036498278029e+00,-1.440963603967574080e+01
-8.615502636816025017e+00,-1.542889285660007204e+01
-9.296841658794429364e+00,-1.645604402813234657e+01
